Classes_1,CIV,IDNodo,COL,CK_DNH_Cs,TARGET_FID,Estado20_1,TIPO_CLA_1,NOMBRE_EJE,ELEM,IDEstacion,IDW_Cs,ESTACION,LON_1,ROW,CK_DH_Cs,Input_FID_,OBJECTID,FID_Grilla,NOMBRE_EXT,Classes,Shape_Leng,NOMBRE_E_1,OBJECTID_4,CLASIFI_SU,Largo_Via,OBJECTID_2,ORIG_FID,Classes_12,FID_LINK,CODIGO_LOC,LAT_1,hora,AT,BA,NH_AT,NH_BA,PPH,PPNH,FEHPM10,FEHPM25,FENHPM10,FENHPM25,FAH,FANH,EHPM10,EHPM25,ENHPM10,ENHPM25
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,10,66.06666667,9.933333333,43.83333333,3.5,31.57,30.89,11.15,4.777,10.946,4.672,5.167,3.218,57.616,24.684,35.223,15.035
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,11,64.06666667,9.266666667,39,3.333333333,31.53,30.94,11.138,4.771,10.961,4.68,4.984,2.878,55.51,23.776,31.546,13.469
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,12,64,8.066666667,43.66666667,4.5,31.33,31.12,11.078,4.74,11.015,4.708,4.902,3.275,54.306,23.236,36.075,15.418
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,13,63.06666667,7.466666667,46.33333333,4,31.29,30.95,11.066,4.734,10.964,4.681,4.793,3.422,53.044,22.691,37.518,16.019
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,14,68.33333333,8.066666667,48.5,4.333333333,31.27,30.98,11.06,4.731,10.973,4.686,5.194,3.592,57.451,24.574,39.414,16.832
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,15,70.4,9.133333333,51.16666667,4.166666667,31.39,30.9,11.096,4.749,10.949,4.674,5.405,3.763,59.978,25.671,41.196,17.585
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,16,80.8,11.33333333,40.33333333,4.166666667,31.49,31.12,11.126,4.765,11.015,4.708,6.262,3.026,69.672,29.836,33.327,14.243
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,17,88.46666667,12.8,45.83333333,4.166666667,31.51,31.0,11.132,4.768,10.979,4.689,6.887,3.399,76.673,32.838,37.323,15.941
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,18,71.66666667,13.86666667,47.5,2.833333333,31.96,30.67,11.267,4.837,10.88,4.638,5.813,3.422,65.498,28.12,37.229,15.872
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,19,63.86666667,14.73333333,44.33333333,3.833333333,32.25,30.95,11.354,4.882,10.964,4.681,5.344,3.274,60.677,26.09,35.9,15.329
